ID,Lat,Lng,Bump,Distance(mi),Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Stop,Amenity,Side,Severity,timestamp
0,37.76215,-122.40566,False,0.044,False,False,False,False,False,False,False,True,R,2,2016-03-25 15:13:02
1,37.719157,-122.448254,False,0.0,False,False,False,False,False,False,False,False,R,2,2020-05-05 19:23:00
2,37.808498,-122.366852,False,0.0,False,False,False,False,False,False,True,False,R,3,2016-09-16 19:57:16
3,37.78593,-122.39108,False,0.009,False,False,True,False,False,False,False,False,R,1,2020-03-29 19:48:43
4,37.719141,-122.448457,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-10-09 08:47:00
5,37.769611,-122.416878,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-09-22 08:45:38
6,37.727318,-122.402756,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-10-23 07:11:42
7,37.731277,-122.435219,False,0.01,False,False,False,False,False,False,False,False,R,3,2016-03-25 13:36:15
8,37.787867,-122.396836,False,0.0,True,False,False,False,False,False,False,True,L,2,2020-02-23 18:38:00
9,37.756806,-122.403612,False,0.0,False,False,False,False,False,False,False,False,R,2,2019-09-25 18:07:00
10,37.768959,-122.406616,False,0.579999983311,False,False,True,False,False,False,False,False,R,3,2020-02-28 19:41:14
11,37.72119,-122.44777,False,0.198,True,False,False,False,True,False,False,False,L,2,2016-10-03 14:26:38
12,37.81053,-122.36464,False,0.0,False,False,True,False,False,False,False,False,R,1,2020-06-06 13:30:49
13,37.753231,-122.40284,False,0.0,False,False,False,False,False,False,False,False,R,2,2018-02-17 09:55:48
14,37.73007,-122.43918,False,0.857,False,False,False,False,False,False,False,False,R,1,2020-04-05 11:13:58
15,37.752502,-122.403015,False,0.0,False,False,True,False,False,False,False,False,R,2,2019-08-28 21:35:14
16,37.808498,-122.366852,False,0.0,False,False,False,False,False,False,True,False,R,3,2017-11-29 04:19:41
17,37.774891,-122.401016,False,0.0,False,False,False,False,False,False,False,True,R,2,2016-09-07 13:06:12
18,37.718611,-122.472584,False,0.0,False,False,False,False,False,False,True,False,L,2,2019-12-06 22:58:00
19,37.769291,-122.410764,False,0.0,False,False,False,False,False,False,False,False,R,2,2020-04-08 22:08:00
20,37.72518,-122.40169,False,0.0,False,False,True,False,False,False,False,False,R,2,2020-04-24 16:26:30
21,37.733097,-122.405617,False,0.0,False,False,True,False,False,False,False,False,R,2,2018-05-09 08:09:29
